time_unix, id, temperature_raw, temperature_celsius, humidity_raw, humidity_percent
1699319703, 10, 25436, 24.040222, 40203, 61.344910
1699319707, 10, 25433, 24.032669, 40206, 61.349487
1699319711, 10, 25438, 24.045258, 40195, 61.332703
1699319715, 10, 25437, 24.042740, 40174, 61.300659
1699319719, 10, 25436, 24.040222, 40203, 61.344910
1699319723, 10, 25441, 24.052811, 40180, 61.309814
1699319731, 10, 25436, 24.040222, 40193, 61.329651
1699319735, 10, 25439, 24.047775, 40180, 61.309814
1699319739, 10, 25438, 24.045258, 40207, 61.351013
1699319743, 10, 25435, 24.037704, 40228, 61.383057
